country,dc_id,sku,product_name,year,week,demand_raw,is_spike,is_zero,is_low,source_files
Germany,100,00004-807-019,Pommes Frites I,2023,21,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,100,00004-807-019,Pommes Frites I,2024,47,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,100,00004-807-019,Pommes Frites I,2024,50,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,100,00004-807-019,Pommes Frites I,2025,24,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,200,00004-807-019,Pommes Frites I,2024,36,1431.0,False,False,False,Germany 4-807-019.xlsx
Germany,200,00004-807-019,Pommes Frites I,2024,37,12759.0,True,False,False,Germany 4-807-019.xlsx
Germany,200,00004-807-019,Pommes Frites I,2024,38,12358.0,True,False,False,Germany 4-807-019.xlsx
Germany,200,00004-807-019,Pommes Frites I,2024,39,13982.0,True,False,False,Germany 4-807-019.xlsx
Germany,200,00004-807-019,Pommes Frites I,2024,40,810.0,False,False,False,Germany 4-807-019.xlsx
Germany,300,00004-807-019,Pommes Frites I,2023,18,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,300,00004-807-019,Pommes Frites I,2023,34,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,300,00004-807-019,Pommes Frites I,2024,48,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,300,00004-807-019,Pommes Frites I,2025,23,2.0,False,False,True,Germany 4-807-019.xlsx
Germany,300,00004-807-019,Pommes Frites I,2025,24,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,300,00004-807-019,Pommes Frites I,2025,26,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,300,00004-807-019,Pommes Frites I,2025,44,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,400,00004-807-019,Pommes Frites I,2022,5,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,400,00004-807-019,Pommes Frites I,2022,6,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,400,00004-807-019,Pommes Frites I,2022,45,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,400,00004-807-019,Pommes Frites I,2023,11,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,400,00004-807-019,Pommes Frites I,2023,26,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,400,00004-807-019,Pommes Frites I,2024,5,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,400,00004-807-019,Pommes Frites I,2024,23,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,400,00004-807-019,Pommes Frites I,2025,8,1.0,False,False,True,Germany 4-807-019.xlsx
Germany,400,00004-807-019,Pommes Frites I,2025,40,1.0,False,False,True,Germany 4-807-019.xlsx
