country,dc_id,sku,year,week,week_start,demand_raw,source_file,source_sheet,product_name
Germany,100,00004-807-019,2023,21,2023-05-22,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,100,00004-807-019,2024,47,2024-11-18,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,100,00004-807-019,2024,50,2024-12-09,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,100,00004-807-019,2025,24,2025-06-09,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,200,00004-807-019,2024,36,2024-09-02,1431.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,200,00004-807-019,2024,37,2024-09-09,12759.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,200,00004-807-019,2024,38,2024-09-16,12358.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,200,00004-807-019,2024,39,2024-09-23,13982.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,200,00004-807-019,2024,40,2024-09-30,810.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,300,00004-807-019,2023,18,2023-05-01,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,300,00004-807-019,2023,34,2023-08-21,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,300,00004-807-019,2024,48,2024-11-25,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,300,00004-807-019,2025,23,2025-06-02,2.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,300,00004-807-019,2025,24,2025-06-09,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,300,00004-807-019,2025,26,2025-06-23,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,300,00004-807-019,2025,44,2025-10-27,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,400,00004-807-019,2022,5,2022-01-31,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,400,00004-807-019,2022,6,2022-02-07,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,400,00004-807-019,2022,45,2022-11-07,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,400,00004-807-019,2023,11,2023-03-13,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,400,00004-807-019,2023,26,2023-06-26,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,400,00004-807-019,2024,5,2024-01-29,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,400,00004-807-019,2024,23,2024-06-03,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,400,00004-807-019,2025,8,2025-02-17,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,400,00004-807-019,2025,40,2025-09-29,1.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,1,2022-01-03,7233.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,2,2022-01-10,5271.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,3,2022-01-17,5462.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,4,2022-01-24,6225.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,5,2022-01-31,5094.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,6,2022-02-07,4764.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,7,2022-02-14,6608.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,8,2022-02-21,5466.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,9,2022-02-28,4868.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,10,2022-03-07,36.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,12,2022-03-21,18757.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,13,2022-03-28,4518.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,14,2022-04-04,4333.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,15,2022-04-11,6934.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,16,2022-04-18,6895.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,17,2022-04-25,5962.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,18,2022-05-02,3394.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,19,2022-05-09,5086.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,20,2022-05-16,5928.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,21,2022-05-23,9401.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,22,2022-05-30,10823.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,23,2022-06-06,7170.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,24,2022-06-13,4924.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,25,2022-06-20,4886.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,26,2022-06-27,5394.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,27,2022-07-04,6001.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,28,2022-07-11,6794.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,29,2022-07-18,7025.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,30,2022-07-25,5744.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,31,2022-08-01,6253.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,32,2022-08-08,6150.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,33,2022-08-15,6542.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,34,2022-08-22,6163.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,35,2022-08-29,6310.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,36,2022-09-05,5220.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,37,2022-09-12,5739.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,38,2022-09-19,6044.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,39,2022-09-26,5948.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,40,2022-10-03,5802.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,41,2022-10-10,5487.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,42,2022-10-17,7574.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,43,2022-10-24,6667.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,44,2022-10-31,5937.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2022,45,2022-11-07,6572.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
