country,sku,longest_gap_weeks,missing_weeks,n_segments,n_weeks_obs,span_weeks,zero_share,n_nonzero,avg_gap_nonzero,ADI,CV2,demand_type,eligible
Germany,00004-807-019,8,13,4,188,201,0.0,188.0,1.0,1.0,0.1225734518522605,smooth,False
Germany,00019-003-003,0,0,1,202,202,0.0,202.0,1.0,1.0,0.035449915057238005,smooth,True
Poland,02589-489-000,1,1,2,357,358,0.0,357.0,1.0,1.0,0.03704671357096616,smooth,True
Poland,05243-022-000,15,20,5,338,358,0.0,338.0,1.0,1.0,0.10095462752619098,smooth,False
Poland,16333-000-000,8,9,3,205,214,0.0,205.0,1.0,1.0,0.2791171508867793,smooth,False
Poland,62170-027-000,0,0,1,181,181,0.0,181.0,1.0,1.0,0.5923555601879825,erratic,True
Portugal,00012-619-000,0,0,1,358,358,0.0,358.0,1.0,1.0,0.1119566858432465,smooth,True
Portugal,00041-097-000,3,8,5,350,358,0.0,350.0,1.0,1.0,0.46202034057886876,smooth,True
Romania,00012-432-000,1,1,2,356,357,0.0,356.0,1.0,1.0,0.270230411379704,smooth,True
Romania,00077-010-000,1,1,2,356,357,0.0,356.0,1.0,1.0,0.3783613460661394,smooth,True
Romania,05243-115-000,0,0,1,118,118,0.0,118.0,1.0,1.0,0.05513944541119971,smooth,True
Romania,07808-016-000,4,60,46,271,331,0.0036900369003690036,270.0,1.003717472118959,1.003717472118959,0.9150385144663444,erratic,True
Romania,76518-000-000,27,124,60,233,357,0.004291845493562232,232.0,1.0043290043290043,1.0043290043290043,0.5842701385990612,erratic,False
Spain,00023-189-000,7,11,4,347,358,0.002881844380403458,346.0,1.0028985507246377,1.0028985507246377,0.19126139840320164,smooth,True
Spain,00119-066-001,14,15,3,343,358,0.0,343.0,1.0,1.0,0.3060229378986291,smooth,False
Spain,04592-030-000,4,6,4,352,358,0.002840909090909091,351.0,1.002857142857143,1.002857142857143,0.05718125024388219,smooth,True
Sweden,00011-294-000,1,1,2,356,357,0.0,356.0,1.0,1.0,0.05929461995326222,smooth,True
Sweden,00295-629-000,4,10,5,225,235,0.0,225.0,1.0,1.0,0.04121757435925939,smooth,True
Sweden,00397-117-000,44,50,5,307,357,0.0,307.0,1.0,1.0,0.06080635118233753,smooth,False
Sweden,75-072-000,1,1,2,356,357,0.0,356.0,1.0,1.0,0.026561182379050377,smooth,True
