country,dc_id,sku,year,week,week_start,demand_raw,source_file,source_sheet,product_name
Portugal,500,00012-619-000,2021,10,2021-03-08,452.0,PT Sundae Mix.xlsx,ShortBaseByYear_Week,LEITE SUNDAE
Portugal,500,00012-619-000,2021,10,2021-03-08,818.0,PT Sundae Mix.xlsx,ShortBaseByYear_Week,LEITE SUNDAE
Portugal,700,00012-619-000,2021,9,2021-03-01,2270.0,PT Sundae Mix.xlsx,ShortBaseByYear_Week,LEITE SUNDAE
Portugal,700,00012-619-000,2021,9,2021-03-01,410.0,PT Sundae Mix.xlsx,ShortBaseByYear_Week,LEITE SUNDAE
Portugal,700,00012-619-000,2021,10,2021-03-08,220.0,PT Sundae Mix.xlsx,ShortBaseByYear_Week,LEITE SUNDAE
Portugal,700,00012-619-000,2021,10,2021-03-08,2440.0,PT Sundae Mix.xlsx,ShortBaseByYear_Week,LEITE SUNDAE
Portugal,700,00012-619-000,2021,11,2021-03-15,0.0,PT Sundae Mix.xlsx,ShortBaseByYear_Week,LEITE SUNDAE
Portugal,700,00012-619-000,2021,11,2021-03-15,3038.0,PT Sundae Mix.xlsx,ShortBaseByYear_Week,LEITE SUNDAE
Portugal,700,00012-619-000,2021,13,2021-03-29,0.0,PT Sundae Mix.xlsx,ShortBaseByYear_Week,LEITE SUNDAE
Portugal,700,00012-619-000,2021,13,2021-03-29,2610.0,PT Sundae Mix.xlsx,ShortBaseByYear_Week,LEITE SUNDAE
Romania,100,07808-016-000,2019,31,2019-07-29,2.0,Romania 7808-016-000 Cinnamon.xlsx,ShortBaseByYear_Month_Week,Cinnamon
Romania,100,07808-016-000,2019,31,2019-07-29,1.0,Romania 7808-016-000 Cinnamon.xlsx,ShortBaseByYear_Month_Week,Cinnamon
Romania,100,07808-016-000,2020,49,2020-11-30,4.0,Romania 7808-016-000 Cinnamon.xlsx,ShortBaseByYear_Month_Week,Cinnamon
Romania,100,07808-016-000,2020,49,2020-11-30,2.0,Romania 7808-016-000 Cinnamon.xlsx,ShortBaseByYear_Month_Week,Cinnamon
Romania,200,07808-016-000,2022,35,2022-08-29,2.0,Romania 7808-016-000 Cinnamon.xlsx,ShortBaseByYear_Month_Week,Cinnamon
Romania,200,07808-016-000,2022,35,2022-08-29,1.0,Romania 7808-016-000 Cinnamon.xlsx,ShortBaseByYear_Month_Week,Cinnamon
Romania,200,07808-016-000,2022,44,2022-10-31,5.0,Romania 7808-016-000 Cinnamon.xlsx,ShortBaseByYear_Month_Week,Cinnamon
Romania,200,07808-016-000,2022,44,2022-10-31,2.0,Romania 7808-016-000 Cinnamon.xlsx,ShortBaseByYear_Month_Week,Cinnamon
