dc_id,sku,product_name,n_weeks,min_date,max_date,mean_demand
100,00004-807-019,Pommes Frites I,4,2023-05-22,2025-06-09,1.0
200,00004-807-019,Pommes Frites I,5,2024-09-02,2024-09-30,8268.0
300,00004-807-019,Pommes Frites I,7,2023-05-01,2025-10-27,1.1428571428571428
400,00004-807-019,Pommes Frites I,9,2022-01-31,2025-09-29,1.0
700,00004-807-019,Pommes Frites I,188,2022-01-03,2025-11-03,6685.617021276596
500,00019-003-003,Coca Cola 20 L BIB,200,2022-01-03,2025-11-03,662.16
700,00019-003-003,Coca Cola 20 L BIB,200,2022-01-03,2025-11-03,791.795
300,00019-003-003,Coca Cola 20 L BIB,201,2021-12-27,2025-11-03,1520.910447761194
900,00019-003-003,Coca Cola 20 L BIB,201,2022-01-03,2025-11-03,842.502487562189
400,00019-003-003,Coca Cola 20 L BIB,201,2021-12-27,2025-11-03,986.8109452736319
200,00019-003-003,Coca Cola 20 L BIB,201,2022-01-03,2025-11-03,1300.2537313432836
600,00019-003-003,Coca Cola 20 L BIB,201,2022-01-03,2025-11-03,1229.4975124378109
100,00019-003-003,Coca Cola 20 L BIB,202,2021-12-27,2025-11-03,1730.980198019802
